,GAME_ID,HALFTIME_HOME_FG,HALFTIME_HOME_FG_MISSES,HALFTIME_HOME_FG_PCT,HALFTIME_HOME_REBOUNDS,HALFTIME_VISITING_FG,HALFTIME_VISITING_FG_PCT,HALFTIME_VISITING_MISSES,HALFTIME_VISITING_REBOUNDS
437,21500438,31,46,0.402597402597,49,26,0.285714285714,65,55
438,21500439,31,42,0.424657534247,42,35,0.402298850575,52,47
439,21500440,31,45,0.407894736842,40,38,0.447058823529,47,45
440,21500441,34,47,0.41975308642,38,42,0.518518518519,39,44
441,21500442,47,41,0.534090909091,37,37,0.46835443038,42,42
442,21500443,27,41,0.397058823529,43,37,0.411111111111,53,48
443,21500444,43,36,0.544303797468,34,35,0.472972972973,39,38
444,21500445,37,37,0.5,40,38,0.452380952381,46,35
445,21500446,32,56,0.363636363636,51,38,0.457831325301,45,47
446,21500447,41,46,0.471264367816,50,40,0.487804878049,42,39
447,21500448,35,40,0.466666666667,33,40,0.5,40,39
448,21500449,36,47,0.433734939759,42,40,0.526315789474,36,41
449,21500450,38,42,0.475,41,35,0.421686746988,48,36
450,21500451,34,54,0.386363636364,41,36,0.467532467532,41,48
451,21500452,35,38,0.479452054795,36,36,0.467532467532,41,34
452,21500453,40,48,0.454545454545,49,27,0.355263157895,49,42
453,21500454,36,49,0.423529411765,51,30,0.348837209302,56,48
454,21500455,40,35,0.533333333333,41,32,0.380952380952,52,46
455,21500456,43,35,0.551282051282,43,42,0.466666666667,48,37
456,21500457,30,46,0.394736842105,43,38,0.413043478261,54,52
457,21500458,43,46,0.483146067416,46,33,0.397590361446,50,41
458,21500459,35,49,0.416666666667,40,31,0.418918918919,43,44
459,21500460,45,37,0.548780487805,37,37,0.44578313253,46,42
460,21500461,31,53,0.369047619048,45,37,0.5,37,37
461,21500462,35,42,0.454545454545,42,33,0.417721518987,46,50
462,21500463,37,47,0.440476190476,49,38,0.431818181818,50,46
463,21500464,37,46,0.44578313253,34,36,0.467532467532,41,52
464,21500465,34,35,0.492753623188,36,37,0.4625,43,32
465,21500466,36,43,0.455696202532,44,32,0.457142857143,38,37
466,21500467,24,56,0.3,53,35,0.411764705882,50,37
467,21500468,41,46,0.471264367816,59,36,0.382978723404,58,48
468,21500469,41,36,0.532467532468,36,36,0.409090909091,52,39
469,21500470,38,33,0.535211267606,46,42,0.428571428571,56,45
470,21500471,37,49,0.43023255814,46,33,0.428571428571,44,38
471,21500472,43,43,0.5,41,49,0.49,51,47
472,21500473,36,52,0.409090909091,52,36,0.428571428571,48,44
473,21500474,37,50,0.425287356322,42,36,0.514285714286,34,39
474,21500475,36,46,0.439024390244,50,32,0.4,48,37
475,21500476,38,50,0.431818181818,45,42,0.451612903226,51,52
476,21500477,27,54,0.333333333333,55,35,0.402298850575,52,44
477,21500478,35,49,0.416666666667,53,36,0.375,60,46
478,21500479,34,41,0.453333333333,47,27,0.341772151899,52,44
479,21500480,37,40,0.480519480519,52,31,0.392405063291,48,37
480,21500481,41,33,0.554054054054,46,31,0.3875,49,36
481,21500482,35,46,0.432098765432,47,36,0.418604651163,50,44
482,21500483,36,38,0.486486486486,46,40,0.425531914894,54,53
483,21500484,40,41,0.493827160494,35,44,0.578947368421,32,34
484,21500485,36,42,0.461538461538,33,42,0.506024096386,41,43
485,21500486,41,45,0.476744186047,52,34,0.4,51,36
486,21500487,32,46,0.410256410256,42,35,0.388888888889,55,47
487,21500488,39,38,0.506493506494,37,43,0.524390243902,39,37
488,21500489,41,43,0.488095238095,42,34,0.441558441558,43,39
489,21500490,41,49,0.455555555556,46,37,0.451219512195,45,39
490,21500491,42,36,0.538461538462,50,31,0.35632183908,56,40
491,21500492,35,55,0.388888888889,54,33,0.392857142857,51,43
492,21500493,37,46,0.44578313253,54,31,0.369047619048,53,42
493,21500494,32,54,0.372093023256,50,30,0.361445783133,53,50
494,21500495,34,54,0.386363636364,51,37,0.402173913043,55,50
495,21500496,50,34,0.595238095238,46,42,0.512195121951,40,25
496,21500497,28,55,0.33734939759,34,35,0.443037974684,44,53
497,21500498,31,40,0.43661971831,47,32,0.347826086957,60,48
498,21500499,34,48,0.414634146341,53,29,0.381578947368,47,45
499,21500500,33,51,0.392857142857,47,32,0.426666666667,43,48
500,21500501,32,47,0.405063291139,33,39,0.475609756098,43,53
501,21500502,42,41,0.506024096386,39,36,0.493150684932,37,37
502,21500503,29,44,0.397260273973,48,31,0.392405063291,48,40
503,21500504,38,42,0.475,46,40,0.39603960396,61,52
504,21500505,47,32,0.594936708861,47,39,0.448275862069,48,33
505,21500506,42,44,0.488372093023,46,37,0.440476190476,47,32
506,21500507,40,50,0.444444444444,37,37,0.480519480519,40,42
507,21500508,27,60,0.310344827586,45,38,0.447058823529,47,54
508,21500509,30,46,0.394736842105,41,38,0.5,38,41
509,21500510,35,46,0.432098765432,54,31,0.352272727273,57,45
510,21500511,39,33,0.541666666667,40,35,0.486111111111,37,26
