,GAME_ID,HOME_PCT,VISITOR_PCT
264,21500265,0.58808,0.41192
265,21500266,0.58808,0.41192
266,21500267,0.58808,0.41192
267,21500268,0.58808,0.41192
268,21500269,0.58808,0.41192
269,21500270,0.61352,0.38648
270,21500271,0.58808,0.41192
271,21500272,0.61352,0.38648
272,21500273,0.61352,0.38648
273,21500274,0.61352,0.38648
274,21500275,0.61352,0.38648
275,21500276,0.61352,0.38648
276,21500277,0.61352,0.38648
277,21500278,0.61352,0.38648
278,21500279,0.58808,0.41192
279,21500280,0.61352,0.38648
280,21500281,0.58808,0.41192
281,21500282,0.61352,0.38648
282,21500283,0.58808,0.41192
283,21500284,0.58808,0.41192
284,21500285,0.61352,0.38648
285,21500286,0.61352,0.38648
286,21500287,0.58808,0.41192
287,21500288,0.61352,0.38648
288,21500289,0.61352,0.38648
289,21500290,0.61352,0.38648
290,21500291,0.58808,0.41192
291,21500292,0.61352,0.38648
292,21500293,0.61352,0.38648
293,21500294,0.58808,0.41192
294,21500295,0.61352,0.38648
295,21500296,0.58808,0.41192
296,21500297,0.58808,0.41192
297,21500298,0.58808,0.41192
298,21500299,0.61352,0.38648
299,21500300,0.61352,0.38648
300,21500301,0.61352,0.38648
301,21500302,0.58808,0.41192
302,21500303,0.61352,0.38648
303,21500304,0.58808,0.41192
304,21500305,0.58808,0.41192
305,21500306,0.61352,0.38648
306,21500307,0.61352,0.38648
307,21500308,0.61352,0.38648
308,21500309,0.58808,0.41192
309,21500310,0.58808,0.41192
310,21500311,0.58808,0.41192
311,21500312,0.61352,0.38648
312,21500313,0.61352,0.38648
313,21500314,0.58808,0.41192
314,21500315,0.58808,0.41192
315,21500316,0.58808,0.41192
316,21500317,0.58808,0.41192
317,21500318,0.58808,0.41192
318,21500319,0.61352,0.38648
319,21500320,0.61352,0.38648
320,21500321,0.61352,0.38648
321,21500322,0.61352,0.38648
322,21500323,0.58808,0.41192
323,21500324,0.58808,0.41192
324,21500325,0.61352,0.38648
325,21500326,0.58808,0.41192
326,21500327,0.58808,0.41192
327,21500328,0.61352,0.38648
328,21500329,0.61352,0.38648
329,21500330,0.58808,0.41192
330,21500331,0.61352,0.38648
331,21500332,0.58808,0.41192
332,21500333,0.61352,0.38648
333,21500334,0.58808,0.41192
334,21500335,0.58808,0.41192
335,21500336,0.58808,0.41192
336,21500337,0.61352,0.38648
337,21500338,0.61352,0.38648
338,21500339,0.58808,0.41192
339,21500340,0.61352,0.38648
340,21500341,0.58808,0.41192
341,21500342,0.61352,0.38648
342,21500343,0.61352,0.38648
343,21500344,0.58808,0.41192
344,21500345,0.58808,0.41192
345,21500346,0.61352,0.38648
346,21500347,0.61352,0.38648
347,21500348,0.61352,0.38648
348,21500349,0.58808,0.41192
349,21500350,0.58808,0.41192
350,21500351,0.61352,0.38648
351,21500352,0.58808,0.41192
352,21500353,0.61352,0.38648
353,21500354,0.58808,0.41192
354,21500355,0.61352,0.38648
355,21500356,0.58808,0.41192
356,21500357,0.61352,0.38648
357,21500358,0.61352,0.38648
358,21500359,0.61352,0.38648
359,21500360,0.61352,0.38648
360,21500361,0.61352,0.38648
361,21500362,0.58808,0.41192
362,21500363,0.61352,0.38648
363,21500364,0.61352,0.38648
364,21500365,0.58808,0.41192
365,21500366,0.61352,0.38648
366,21500367,0.61352,0.38648
367,21500368,0.58808,0.41192
368,21500369,0.58808,0.41192
369,21500370,0.58808,0.41192
370,21500371,0.58808,0.41192
371,21500372,0.61352,0.38648
372,21500373,0.61352,0.38648
373,21500374,0.58808,0.41192
374,21500375,0.61352,0.38648
375,21500376,0.61352,0.38648
376,21500377,0.61352,0.38648
377,21500378,0.61352,0.38648
378,21500379,0.61352,0.38648
379,21500380,0.58808,0.41192
380,21500381,0.58808,0.41192
381,21500382,0.61352,0.38648
382,21500383,0.58808,0.41192
383,21500384,0.58808,0.41192
384,21500385,0.58808,0.41192
385,21500386,0.61352,0.38648
386,21500387,0.61352,0.38648
387,21500388,0.61352,0.38648
388,21500389,0.58808,0.41192
389,21500390,0.61352,0.38648
390,21500391,0.61352,0.38648
391,21500392,0.61352,0.38648
392,21500393,0.58808,0.41192
393,21500394,0.58808,0.41192
394,21500395,0.61352,0.38648
395,21500396,0.58808,0.41192
396,21500397,0.61352,0.38648
397,21500398,0.61352,0.38648
398,21500399,0.61352,0.38648
399,21500400,0.58808,0.41192
400,21500401,0.61352,0.38648
401,21500402,0.61352,0.38648
402,21500403,0.58808,0.41192
403,21500404,0.61352,0.38648
404,21500405,0.58808,0.41192
405,21500406,0.58808,0.41192
406,21500407,0.58808,0.41192
407,21500408,0.61352,0.38648
408,21500409,0.58808,0.41192
409,21500410,0.61352,0.38648
410,21500411,0.58808,0.41192
411,21500412,0.58808,0.41192
412,21500413,0.61352,0.38648
413,21500414,0.58808,0.41192
414,21500415,0.61352,0.38648
415,21500416,0.61352,0.38648
416,21500417,0.58808,0.41192
417,21500418,0.58808,0.41192
418,21500419,0.58808,0.41192
419,21500420,0.61352,0.38648
420,21500421,0.61352,0.38648
421,21500422,0.58808,0.41192
422,21500423,0.61352,0.38648
423,21500424,0.61352,0.38648
424,21500425,0.61352,0.38648
425,21500426,0.58808,0.41192
426,21500427,0.58808,0.41192
427,21500428,0.61352,0.38648
428,21500429,0.61352,0.38648
429,21500430,0.61352,0.38648
430,21500431,0.58808,0.41192
431,21500432,0.61352,0.38648
432,21500433,0.61352,0.38648
433,21500434,0.58808,0.41192
434,21500435,0.58808,0.41192
435,21500436,0.61352,0.38648
436,21500437,0.58808,0.41192
437,21500438,0.58808,0.41192
438,21500439,0.58808,0.41192
439,21500440,0.61352,0.38648
440,21500441,0.58808,0.41192
441,21500442,0.58808,0.41192
442,21500443,0.61352,0.38648
443,21500444,0.58808,0.41192
444,21500445,0.58808,0.41192
445,21500446,0.61352,0.38648
446,21500447,0.61352,0.38648
447,21500448,0.61352,0.38648
448,21500449,0.58808,0.41192
449,21500450,0.61352,0.38648
450,21500451,0.61352,0.38648
451,21500452,0.58808,0.41192
452,21500453,0.61352,0.38648
453,21500454,0.58808,0.41192
454,21500455,0.61352,0.38648
455,21500456,0.58808,0.41192
456,21500457,0.61352,0.38648
457,21500458,0.58808,0.41192
458,21500459,0.61352,0.38648
459,21500460,0.61352,0.38648
460,21500461,0.61352,0.38648
461,21500462,0.58808,0.41192
462,21500463,0.58808,0.41192
463,21500464,0.61352,0.38648
464,21500465,0.58808,0.41192
465,21500466,0.61352,0.38648
466,21500467,0.58808,0.41192
467,21500468,0.61352,0.38648
468,21500469,0.58808,0.41192
469,21500470,0.61352,0.38648
470,21500471,0.61352,0.38648
471,21500472,0.61352,0.38648
472,21500473,0.61352,0.38648
473,21500474,0.58808,0.41192
474,21500475,0.58808,0.41192
475,21500476,0.61352,0.38648
476,21500477,0.61352,0.38648
477,21500478,0.58808,0.41192
478,21500479,0.61352,0.38648
479,21500480,0.58808,0.41192
480,21500481,0.58808,0.41192
481,21500482,0.58808,0.41192
482,21500483,0.61352,0.38648
483,21500484,0.58808,0.41192
484,21500485,0.58808,0.41192
485,21500486,0.61352,0.38648
486,21500487,0.61352,0.38648
487,21500488,0.61352,0.38648
488,21500489,0.61352,0.38648
489,21500490,0.58808,0.41192
490,21500491,0.61352,0.38648
491,21500492,0.61352,0.38648
492,21500493,0.61352,0.38648
493,21500494,0.61352,0.38648
494,21500495,0.58808,0.41192
495,21500496,0.58808,0.41192
496,21500497,0.58808,0.41192
497,21500498,0.58808,0.41192
498,21500499,0.61352,0.38648
499,21500500,0.61352,0.38648
500,21500501,0.58808,0.41192
501,21500502,0.58808,0.41192
502,21500503,0.61352,0.38648
503,21500504,0.61352,0.38648
504,21500505,0.58808,0.41192
505,21500506,0.61352,0.38648
506,21500507,0.61352,0.38648
507,21500508,0.61352,0.38648
508,21500509,0.61352,0.38648
509,21500510,0.58808,0.41192
510,21500511,0.58808,0.41192
511,21500512,0.61352,0.38648
512,21500513,0.61352,0.38648
513,21500514,0.61352,0.38648
514,21500515,0.58808,0.41192
515,21500516,0.61352,0.38648
516,21500517,0.61352,0.38648
517,21500518,0.58808,0.41192
518,21500519,0.58808,0.41192
519,21500520,0.61352,0.38648
520,21500521,0.58808,0.41192
521,21500522,0.61352,0.38648
522,21500523,0.58808,0.41192
523,21500524,0.58808,0.41192
524,21500525,0.61352,0.38648
525,21500526,0.58808,0.41192
526,21500527,0.61352,0.38648
527,21500528,0.58808,0.41192
528,21500529,0.61352,0.38648
529,21500530,0.61352,0.38648
530,21500531,0.61352,0.38648
531,21500532,0.58808,0.41192
532,21500533,0.61352,0.38648
533,21500534,0.61352,0.38648
534,21500535,0.58808,0.41192
535,21500536,0.58808,0.41192
536,21500537,0.58808,0.41192
537,21500538,0.61352,0.38648
538,21500539,0.58808,0.41192
