,GAME_ID,QTR_HOME_FG,QTR_HOME_FG_MISSES,QTR_HOME_FG_PCT,QTR_HOME_REBOUNDS,QTR_VISITING_FG,QTR_VISITING_FG_PCT,QTR_VISITING_MISSES,QTR_VISITING_REBOUNDS
41,21500042,8,13,0.380952380952,11,6,0.352941176471,11,9
42,21500043,12,9,0.571428571429,11,11,0.44,14,8
43,21500044,11,9,0.55,14,8,0.380952380952,13,5
44,21500045,5,11,0.3125,13,10,0.434782608696,13,10
45,21500046,11,8,0.578947368421,9,7,0.368421052632,12,9
46,21500047,12,8,0.6,8,12,0.6,8,8
47,21500048,8,15,0.347826086957,15,7,0.333333333333,14,15
48,21500049,9,17,0.346153846154,12,9,0.473684210526,10,15
49,21500050,12,6,0.666666666667,8,6,0.352941176471,11,8
50,21500051,7,12,0.368421052632,13,9,0.36,16,12
51,21500052,10,16,0.384615384615,14,9,0.391304347826,14,14
52,21500053,14,7,0.666666666667,13,9,0.409090909091,13,7
53,21500054,13,12,0.52,13,10,0.5,10,5
54,21500055,9,9,0.5,10,9,0.391304347826,14,12
55,21500056,7,13,0.35,7,12,0.5,12,15
56,21500057,5,10,0.333333333333,11,11,0.5,11,12
57,21500058,9,7,0.5625,9,12,0.5,12,10
58,21500059,9,8,0.529411764706,9,10,0.47619047619,11,9
59,21500060,9,15,0.375,17,6,0.3,14,12
60,21500061,7,10,0.411764705882,10,9,0.428571428571,12,12
61,21500062,8,12,0.4,8,7,0.35,13,12
62,21500063,8,15,0.347826086957,7,13,0.590909090909,9,14
63,21500064,12,10,0.545454545455,11,15,0.681818181818,7,8
64,21500065,10,10,0.5,12,8,0.421052631579,11,9
65,21500066,11,9,0.55,13,5,0.217391304348,18,10
66,21500067,12,10,0.545454545455,13,8,0.380952380952,13,9
67,21500068,12,16,0.428571428571,7,13,0.65,7,11
68,21500069,6,14,0.3,9,9,0.5,9,10
69,21500070,8,15,0.347826086957,14,11,0.52380952381,10,10
70,21500071,6,18,0.25,10,9,0.473684210526,10,17
71,21500072,6,9,0.4,9,15,0.555555555556,12,12
72,21500073,9,8,0.529411764706,13,6,0.285714285714,15,8
73,21500074,9,14,0.391304347826,14,9,0.45,11,13
74,21500075,5,11,0.3125,9,3,0.214285714286,11,8
75,21500076,16,9,0.64,13,11,0.52380952381,10,10
