,DATE,GAME_ID,HOME_TEAM_ID,HOME_TEAM,HOME_TEAM_W_L,HOME_QTR1,HOME_QTR2,HOME_QTR3,HOME_QTR4,HOME_OT1,HOME_OT2,HOME_OT3,HOME_OT4,HOME_PTS,AWAY_TEAM_ID,AWAY_TEAM,AWAY_TEAM_W_L,AWAY_QTR1,AWAY_QTR2,AWAY_QTR3,AWAY_QTR4,AWAY_OT1,AWAY_OT2,AWAY_OT3,AWAY_OT4,AWAY_PTS
81,2015-11-06T00:00:00,21500082,1610612756,PHX,3-3,14,26,23,29,0,0,0,0,92,1610612765,DET,4-1,21,21,25,33,0,0,0,0,100
82,2015-11-06T00:00:00,21500083,1610612744,GSW,6-0,40,34,25,20,0,0,0,0,119,1610612743,DEN,2-4,23,21,31,29,0,0,0,0,104
83,2015-11-06T00:00:00,21500084,1610612758,SAC,1-5,23,27,28,32,0,0,0,0,110,1610612745,HOU,3-3,29,32,24,31,0,0,0,0,116
84,2015-11-07T00:00:00,21500085,1610612741,CHI,4-3,28,29,20,16,0,0,0,0,93,1610612750,MIN,3-2,30,28,18,17,9,0,0,0,102
85,2015-11-07T00:00:00,21500086,1610612737,ATL,7-1,19,22,34,39,0,0,0,0,114,1610612764,WAS,3-3,19,26,33,21,0,0,0,0,99
86,2015-11-07T00:00:00,21500087,1610612755,PHI,0-6,17,27,29,24,0,0,0,0,97,1610612753,ORL,3-4,25,26,30,24,0,0,0,0,105
87,2015-11-07T00:00:00,21500088,1610612742,DAL,3-3,26,16,30,35,0,0,0,0,107,1610612740,NOP,0-6,21,27,22,28,0,0,0,0,98
88,2015-11-07T00:00:00,21500089,1610612749,MIL,4-3,18,26,23,27,0,0,0,0,94,1610612751,BKN,0-7,24,20,17,25,0,0,0,0,86
89,2015-11-07T00:00:00,21500090,1610612759,SAS,4-2,29,22,42,21,0,0,0,0,114,1610612766,CHA,2-4,21,26,29,18,0,0,0,0,94
90,2015-11-07T00:00:00,21500091,1610612762,UTA,4-2,21,30,26,12,0,0,0,0,89,1610612763,MEM,3-4,19,19,19,22,0,0,0,0,79
91,2015-11-07T00:00:00,21500092,1610612758,SAC,1-6,14,24,30,26,0,0,0,0,94,1610612744,GSW,7-0,20,26,26,31,0,0,0,0,103
92,2015-11-07T00:00:00,21500093,1610612746,LAC,4-2,32,26,20,27,0,0,0,0,105,1610612745,HOU,4-3,32,24,27,26,0,0,0,0,109
93,2015-11-08T00:00:00,21500094,1610612739,CLE,6-1,24,23,27,27,0,0,0,0,101,1610612754,IND,3-4,22,20,31,24,0,0,0,0,97
94,2015-11-08T00:00:00,21500095,1610612752,NYK,3-4,25,20,26,28,0,0,0,0,99,1610612747,LAL,1-5,25,24,21,25,0,0,0,0,95
95,2015-11-08T00:00:00,21500096,1610612748,MIA,4-3,22,22,30,22,0,0,0,0,96,1610612761,TOR,5-2,24,23,16,13,0,0,0,0,76
96,2015-11-08T00:00:00,21500097,1610612760,OKC,4-3,29,31,29,35,0,0,0,0,124,1610612756,PHX,3-4,29,25,23,26,0,0,0,0,103
97,2015-11-08T00:00:00,21500098,1610612757,POR,4-3,32,25,35,11,0,0,0,0,103,1610612765,DET,5-1,23,24,32,41,0,0,0,0,120
98,2015-11-09T00:00:00,21500099,1610612754,IND,4-4,25,24,23,25,0,0,0,0,97,1610612753,ORL,3-5,25,23,23,13,0,0,0,0,84
99,2015-11-09T00:00:00,21500100,1610612755,PHI,0-7,22,21,19,26,0,0,0,0,88,1610612741,CHI,5-3,31,21,24,35,0,0,0,0,111
100,2015-11-09T00:00:00,21500101,1610612737,ATL,7-2,19,23,42,23,0,0,0,0,107,1610612750,MIN,4-2,30,42,21,24,0,0,0,0,117
101,2015-11-09T00:00:00,21500102,1610612743,DEN,3-4,29,28,22,29,0,0,0,0,108,1610612757,POR,4-4,33,25,22,24,0,0,0,0,104
102,2015-11-09T00:00:00,21500103,1610612758,SAC,1-7,24,19,26,19,0,0,0,0,88,1610612759,SAS,5-2,23,26,23,34,0,0,0,0,106
103,2015-11-09T00:00:00,21500104,1610612744,GSW,8-0,27,28,25,29,0,0,0,0,109,1610612765,DET,5-2,15,31,30,19,0,0,0,0,95
104,2015-11-09T00:00:00,21500105,1610612746,LAC,5-2,25,21,24,24,0,0,0,0,94,1610612763,MEM,3-5,26,20,20,26,0,0,0,0,92
105,2015-11-10T00:00:00,21500106,1610612739,CLE,7-1,27,25,28,38,0,0,0,0,118,1610612762,UTA,4-3,22,26,32,34,0,0,0,0,114
106,2015-11-10T00:00:00,21500107,1610612764,WAS,3-4,23,27,21,30,0,0,0,0,101,1610612760,OKC,5-3,37,31,29,28,0,0,0,0,125
107,2015-11-10T00:00:00,21500108,1610612748,MIA,5-3,29,21,25,26,0,0,0,0,101,1610612747,LAL,1-6,23,26,17,22,0,0,0,0,88
108,2015-11-10T00:00:00,21500109,1610612761,TOR,5-3,17,35,33,24,0,0,0,0,109,1610612752,NYK,4-4,24,36,25,26,0,0,0,0,111
109,2015-11-10T00:00:00,21500110,1610612749,MIL,4-4,24,18,17,24,0,0,0,0,83,1610612738,BOS,3-3,24,22,30,23,0,0,0,0,99
110,2015-11-10T00:00:00,21500111,1610612750,MIN,4-3,31,28,21,15,0,0,0,0,95,1610612766,CHA,3-4,32,31,22,19,0,0,0,0,104
111,2015-11-10T00:00:00,21500112,1610612740,NOP,1-6,29,29,36,26,0,0,0,0,120,1610612742,DAL,3-4,22,18,35,30,0,0,0,0,105
112,2015-11-11T00:00:00,21500113,1610612766,CHA,4-4,18,31,20,26,0,0,0,0,95,1610612752,NYK,4-5,27,20,32,14,0,0,0,0,93
113,2015-11-11T00:00:00,21500114,1610612753,ORL,4-5,26,22,26,27,0,0,0,0,101,1610612747,LAL,1-7,25,20,25,29,0,0,0,0,99
114,2015-11-11T00:00:00,21500115,1610612755,PHI,0-8,34,23,20,26,0,0,0,0,103,1610612761,TOR,6-3,29,34,33,23,0,0,0,0,119
115,2015-11-11T00:00:00,21500116,1610612738,BOS,3-4,23,26,25,17,0,0,0,0,91,1610612754,IND,5-4,31,20,30,21,0,0,0,0,102
116,2015-11-11T00:00:00,21500117,1610612737,ATL,8-2,24,23,29,30,0,0,0,0,106,1610612740,NOP,1-7,26,30,19,23,0,0,0,0,98
117,2015-11-11T00:00:00,21500118,1610612742,DAL,4-4,27,26,31,34,0,0,0,0,118,1610612746,LAC,5-3,35,19,24,30,0,0,0,0,108
118,2015-11-11T00:00:00,21500119,1610612745,HOU,4-4,28,21,34,15,0,0,0,0,98,1610612751,BKN,1-7,22,33,24,27,0,0,0,0,106
119,2015-11-11T00:00:00,21500120,1610612763,MEM,3-6,15,26,22,21,0,0,0,0,84,1610612744,GSW,9-0,26,21,27,26,0,0,0,0,100
120,2015-11-11T00:00:00,21500121,1610612743,DEN,4-4,25,28,34,16,0,0,0,0,103,1610612749,MIL,4-5,32,32,16,22,0,0,0,0,102
121,2015-11-11T00:00:00,21500122,1610612758,SAC,2-7,36,25,25,15,0,0,0,0,101,1610612765,DET,5-3,23,26,21,22,0,0,0,0,92
122,2015-11-11T00:00:00,21500123,1610612757,POR,4-5,24,22,29,26,0,0,0,0,101,1610612759,SAS,6-2,28,30,23,32,0,0,0,0,113
123,2015-11-12T00:00:00,21500124,1610612748,MIA,6-3,28,18,20,26,0,0,0,0,92,1610612762,UTA,4-4,22,23,21,25,0,0,0,0,91
124,2015-11-12T00:00:00,21500125,1610612750,MIN,4-4,27,36,24,29,0,0,0,0,116,1610612744,GSW,10-0,40,35,22,32,0,0,0,0,129
125,2015-11-12T00:00:00,21500126,1610612756,PHX,4-4,30,28,35,25,0,0,0,0,118,1610612746,LAC,5-4,25,24,24,31,0,0,0,0,104
126,2015-11-13T00:00:00,21500127,1610612754,IND,6-4,24,37,29,17,0,0,0,0,107,1610612750,MIN,4-5,27,23,23,30,0,0,0,0,103
127,2015-11-13T00:00:00,21500128,1610612753,ORL,5-5,33,19,28,22,0,0,0,0,102,1610612762,UTA,4-5,15,25,23,30,0,0,0,0,93
128,2015-11-13T00:00:00,21500129,1610612738,BOS,4-4,23,22,35,26,0,0,0,0,106,1610612737,ATL,8-3,26,19,24,24,0,0,0,0,93
129,2015-11-13T00:00:00,21500130,1610612752,NYK,4-6,23,30,19,12,0,0,0,0,84,1610612739,CLE,8-1,29,17,20,24,0,0,0,0,90
130,2015-11-13T00:00:00,21500131,1610612761,TOR,7-3,17,23,32,28,0,0,0,0,100,1610612740,NOP,1-8,21,19,21,20,0,0,0,0,81
131,2015-11-13T00:00:00,21500132,1610612741,CHI,6-3,23,27,23,29,0,0,0,0,102,1610612766,CHA,4-5,23,23,29,22,0,0,0,0,97
132,2015-11-13T00:00:00,21500133,1610612763,MEM,4-6,23,30,26,22,0,0,0,0,101,1610612757,POR,4-6,24,28,18,30,0,0,0,0,100
133,2015-11-13T00:00:00,21500134,1610612760,OKC,6-3,18,30,23,31,0,0,0,0,102,1610612755,PHI,0-9,24,19,18,24,0,0,0,0,85
134,2015-11-13T00:00:00,21500135,1610612742,DAL,5-4,29,19,16,26,0,0,0,0,90,1610612747,LAL,1-8,24,16,15,27,0,0,0,0,82
135,2015-11-13T00:00:00,21500136,1610612743,DEN,5-4,30,29,23,25,0,0,0,0,107,1610612745,HOU,4-5,23,28,23,24,0,0,0,0,98
136,2015-11-13T00:00:00,21500137,1610612758,SAC,3-7,23,31,31,26,0,0,0,0,111,1610612751,BKN,1-8,30,30,22,27,0,0,0,0,109
137,2015-11-14T00:00:00,21500138,1610612746,LAC,6-4,25,26,30,20,0,0,0,0,101,1610612765,DET,5-4,28,32,20,16,0,0,0,0,96
138,2015-11-14T00:00:00,21500139,1610612764,WAS,4-4,29,21,29,29,0,0,0,0,108,1610612753,ORL,5-6,27,29,20,23,0,0,0,0,99
139,2015-11-14T00:00:00,21500140,1610612745,HOU,4-6,20,14,33,31,0,0,0,0,98,1610612742,DAL,6-4,32,25,25,28,0,0,0,0,110
140,2015-11-14T00:00:00,21500141,1610612749,MIL,5-5,23,27,20,18,8,12,0,0,108,1610612739,CLE,8-2,23,21,17,27,8,9,0,0,105
141,2015-11-14T00:00:00,21500142,1610612759,SAS,7-2,20,23,33,16,0,0,0,0,92,1610612755,PHI,0-10,12,27,21,23,0,0,0,0,83
142,2015-11-14T00:00:00,21500143,1610612756,PHX,5-4,27,33,28,17,0,0,0,0,105,1610612743,DEN,5-5,13,15,26,27,0,0,0,0,81
143,2015-11-14T00:00:00,21500144,1610612744,GSW,11-0,21,31,18,27,10,0,0,0,107,1610612751,BKN,1-9,36,18,23,20,2,0,0,0,99
144,2015-11-15T00:00:00,21500145,1610612752,NYK,5-6,23,19,26,27,0,0,0,0,95,1610612740,NOP,1-9,27,17,21,22,0,0,0,0,87
145,2015-11-15T00:00:00,21500146,1610612750,MIN,4-6,23,26,30,27,0,0,0,0,106,1610612763,MEM,5-6,22,33,26,33,0,0,0,0,114
146,2015-11-15T00:00:00,21500147,1610612766,CHA,5-5,35,36,18,17,0,0,0,0,106,1610612757,POR,4-7,27,18,21,28,0,0,0,0,94
147,2015-11-15T00:00:00,21500148,1610612737,ATL,8-4,24,28,22,22,0,0,0,0,96,1610612762,UTA,5-5,27,20,27,23,0,0,0,0,97
148,2015-11-15T00:00:00,21500149,1610612760,OKC,6-4,24,28,22,11,0,0,0,0,85,1610612738,BOS,5-4,24,21,27,28,0,0,0,0,100
149,2015-11-15T00:00:00,21500150,1610612758,SAC,4-7,22,31,26,28,0,0,0,0,107,1610612761,TOR,7-4,23,28,31,19,0,0,0,0,101
150,2015-11-15T00:00:00,21500151,1610612747,LAL,2-8,21,27,18,31,0,0,0,0,97,1610612765,DET,5-5,18,26,22,19,0,0,0,0,85
151,2015-11-16T00:00:00,21500152,1610612755,PHI,0-11,15,29,21,21,0,0,0,0,86,1610612742,DAL,7-4,28,21,19,24,0,0,0,0,92
152,2015-11-16T00:00:00,21500153,1610612741,CHI,7-3,31,22,26,17,0,0,0,0,96,1610612754,IND,6-5,21,24,30,20,0,0,0,0,95
153,2015-11-16T00:00:00,21500154,1610612745,HOU,4-7,28,27,13,27,0,0,0,0,95,1610612738,BOS,6-4,24,31,32,24,0,0,0,0,111
154,2015-11-16T00:00:00,21500155,1610612763,MEM,6-6,27,31,21,43,0,0,0,0,122,1610612760,OKC,6-5,25,27,28,34,0,0,0,0,114
155,2015-11-16T00:00:00,21500156,1610612759,SAS,8-2,17,19,29,28,0,0,0,0,93,1610612757,POR,4-8,13,15,32,20,0,0,0,0,80
156,2015-11-16T00:00:00,21500157,1610612756,PHX,6-4,26,31,23,40,0,0,0,0,120,1610612747,LAL,2-9,22,31,22,26,0,0,0,0,101
157,2015-11-17T00:00:00,21500158,1610612764,WAS,5-4,27,37,21,30,0,0,0,0,115,1610612749,MIL,5-6,29,17,20,20,0,0,0,0,86
158,2015-11-17T00:00:00,21500159,1610612751,BKN,2-9,17,28,27,18,0,0,0,0,90,1610612737,ATL,8-5,19,27,22,20,0,0,0,0,88
159,2015-11-17T00:00:00,21500160,1610612765,DET,6-5,31,24,20,29,0,0,0,0,104,1610612739,CLE,8-3,27,29,25,18,0,0,0,0,99
160,2015-11-17T00:00:00,21500161,1610612748,MIA,6-4,25,25,19,22,0,0,0,0,91,1610612750,MIN,5-6,20,25,17,41,0,0,0,0,103
161,2015-11-17T00:00:00,21500162,1610612752,NYK,6-6,26,20,34,22,0,0,0,0,102,1610612766,CHA,5-6,21,27,24,22,0,0,0,0,94
162,2015-11-17T00:00:00,21500163,1610612740,NOP,1-10,21,32,22,23,0,0,0,0,98,1610612743,DEN,6-5,31,20,32,32,0,0,0,0,115
163,2015-11-17T00:00:00,21500164,1610612744,GSW,12-0,29,34,27,25,0,0,0,0,115,1610612761,TOR,7-5,25,22,36,27,0,0,0,0,110
