,DATE,GAME_ID,HOME_TEAM_ID,HOME_TEAM,HOME_TEAM_W_L,HOME_QTR1,HOME_QTR2,HOME_QTR3,HOME_QTR4,HOME_OT1,HOME_OT2,HOME_OT3,HOME_OT4,HOME_PTS,AWAY_TEAM_ID,AWAY_TEAM,AWAY_TEAM_W_L,AWAY_QTR1,AWAY_QTR2,AWAY_QTR3,AWAY_QTR4,AWAY_OT1,AWAY_OT2,AWAY_OT3,AWAY_OT4,AWAY_PTS,MOV,QTR1_MOV,QTR2_MOV,QTR3_MOV,HOME_HALFTIME,AWAY_HALFTIME,HALFTIME_MOV,HALFTIME_HOME_FG,HALFTIME_HOME_FG_MISSES,HALFTIME_HOME_FG_PCT,HALFTIME_HOME_REBOUNDS,HALFTIME_VISITING_FG,HALFTIME_VISITING_FG_PCT,HALFTIME_VISITING_MISSES,HALFTIME_VISITING_REBOUNDS,HALFTIME_FG_DIFF,HALFTIME_REBOUNDS_DIFF
31,2015-10-30,21500032,1610612756,PHX,1-1,27,28,28,27,0,0,0,0,110,1610612757,POR,1-1,23,26,20,23,0,0,0,0,92,18,4,2,8,55,49,6,34,46,0.425,55,33,0.388235294118,52,42,0.036764705882,13
32,2015-10-31,21500033,1610612754,IND,0-3,29,20,12,15,0,0,0,0,76,1610612762,UTA,2-1,23,19,28,27,0,0,0,0,97,-21,6,1,-16,49,42,7,28,42,0.4,34,37,0.43023255814,49,47,-0.03023255814,-13
33,2015-10-31,21500034,1610612764,WAS,2-1,29,27,34,20,0,0,0,0,110,1610612752,NYK,2-1,29,30,28,30,0,0,0,0,117,-7,0,-3,6,56,59,-3,36,52,0.409090909091,43,38,0.457831325301,45,40,-0.04874041621,3
34,2015-10-31,21500035,1610612740,NOP,0-3,28,37,26,29,0,0,0,0,120,1610612744,GSW,3-0,31,33,41,29,0,0,0,0,134,-14,-3,4,-15,65,64,1,42,54,0.4375,48,46,0.547619047619,38,38,-0.110119047619,10
35,2015-10-31,21500036,1610612763,MEM,2-1,31,25,23,22,0,0,0,0,101,1610612751,BKN,0-3,26,19,24,22,0,0,0,0,91,10,5,6,-1,56,45,11,30,46,0.394736842105,42,37,0.474358974359,41,43,-0.079622132254,-1
36,2015-10-31,21500037,1610612757,POR,1-2,23,25,23,19,0,0,0,0,90,1610612756,PHX,2-1,27,29,18,27,0,0,0,0,101,-11,-4,-4,5,48,56,-8,31,46,0.402597402597,45,39,0.414893617021,55,48,-0.012296214424,-3
37,2015-10-31,21500038,1610612746,LAC,3-0,24,35,24,31,0,0,0,0,114,1610612758,SAC,1-2,31,24,24,30,0,0,0,0,109,5,-7,11,0,59,55,4,38,37,0.506666666667,41,38,0.395833333333,58,49,0.110833333334,-8
38,2015-11-01,21500039,1610612766,CHA,0-3,18,21,37,16,0,0,0,0,92,1610612737,ATL,3-1,28,18,24,24,0,0,0,0,94,-2,-10,3,13,39,46,-7,31,54,0.364705882353,45,37,0.420454545455,51,48,-0.055748663102,-3
39,2015-11-01,21500040,1610612738,BOS,1-2,13,18,23,33,0,0,0,0,87,1610612759,SAS,2-1,23,21,20,31,0,0,0,0,95,-8,-10,-3,3,31,44,-13,35,63,0.357142857143,45,34,0.41975308642,47,51,-0.062610229277,-6
40,2015-11-01,21500041,1610612748,MIA,2-1,30,14,31,34,0,0,0,0,109,1610612745,HOU,0-3,35,28,12,14,0,0,0,0,89,20,-5,-14,19,44,63,-19,40,44,0.47619047619,48,31,0.397435897436,47,34,0.078754578754,14
41,2015-11-01,21500042,1610612761,TOR,3-0,24,31,26,25,0,0,0,0,106,1610612749,MIL,0-3,19,22,30,16,0,0,0,0,87,19,5,9,-4,55,41,14,38,49,0.436781609195,46,29,0.420289855072,40,33,0.016491754123,13
42,2015-11-01,21500043,1610612741,CHI,3-1,29,25,21,17,0,0,0,0,92,1610612753,ORL,0-3,26,14,23,24,0,0,0,0,87,5,3,11,-2,54,40,14,33,54,0.379310344828,47,35,0.388888888889,55,43,-0.009578544061,4
43,2015-11-01,21500044,1610612760,OKC,3-0,29,29,37,22,0,0,0,0,117,1610612743,DEN,1-2,22,28,20,23,0,0,0,0,93,24,7,1,17,58,50,8,44,41,0.517647058824,50,34,0.373626373626,57,35,0.144020685198,15
44,2015-11-01,21500045,1610612747,LAL,0-3,21,24,19,29,0,0,0,0,93,1610612742,DAL,2-1,32,22,27,22,0,0,0,0,103,-10,-11,2,-8,45,54,-9,30,54,0.357142857143,42,37,0.440476190476,47,49,-0.083333333333,-7
45,2015-11-02,21500046,1610612755,PHI,0-3,32,22,18,28,0,0,0,0,100,1610612739,CLE,3-1,18,31,33,25,0,0,0,0,107,-7,14,-9,-15,54,49,5,35,47,0.426829268293,37,42,0.518518518519,39,43,-0.091689250226,-6
46,2015-11-02,21500047,1610612751,BKN,0-4,33,15,32,16,0,0,0,0,96,1610612749,MIL,1-3,33,26,21,23,0,0,0,0,103,-7,0,-11,11,48,59,-11,32,43,0.426666666667,35,37,0.513888888889,35,36,-0.087222222222,-1
47,2015-11-02,21500048,1610612752,NYK,2-2,21,14,30,19,0,0,0,0,84,1610612759,SAS,3-1,18,29,23,24,0,0,0,0,94,-10,3,-15,7,35,47,-12,32,57,0.359550561798,49,35,0.466666666667,40,45,-0.107116104869,4
48,2015-11-02,21500049,1610612745,HOU,1-3,21,33,28,28,0,0,0,0,110,1610612760,OKC,3-1,26,39,14,26,0,0,0,0,105,5,-5,-6,14,54,65,-11,41,48,0.460674157303,34,40,0.47619047619,44,55,-0.015516318887,-21
49,2015-11-02,21500050,1610612750,MIN,2-1,34,19,27,21,0,0,0,0,101,1610612757,POR,2-2,21,32,30,23,0,0,0,0,106,-5,13,-13,-3,53,53,0,33,45,0.423076923077,41,41,0.460674157303,48,46,-0.037597234226,-5
50,2015-11-02,21500051,1610612744,GSW,4-0,21,32,40,26,0,0,0,0,119,1610612763,MEM,2-2,22,12,15,20,0,0,0,0,69,50,-1,20,25,53,34,19,38,38,0.5,60,24,0.263736263736,67,42,0.236263736264,18
51,2015-11-02,21500052,1610612746,LAC,4-0,22,26,27,27,0,0,0,0,102,1610612756,PHX,2-2,23,16,33,24,0,0,0,0,96,6,-1,10,-6,48,39,9,33,44,0.428571428571,46,34,0.354166666667,62,55,0.074404761904,-9
52,2015-11-03,21500053,1610612766,CHA,1-3,37,32,31,30,0,0,0,0,130,1610612741,CHI,3-2,20,27,30,28,0,0,0,0,105,25,17,5,1,69,47,22,45,44,0.505617977528,52,44,0.488888888889,46,33,0.016729088639,19
53,2015-11-03,21500054,1610612765,DET,3-1,30,17,20,15,0,0,0,0,82,1610612754,IND,1-3,24,35,26,9,0,0,0,0,94,-12,6,-18,-6,47,59,-12,32,53,0.376470588235,50,37,0.425287356322,50,42,-0.048816768087,8
54,2015-11-03,21500055,1610612748,MIA,2-2,24,16,25,27,0,0,0,0,92,1610612737,ATL,4-1,25,26,28,19,0,0,0,0,98,-6,-1,-10,-3,40,51,-11,35,48,0.421686746988,49,35,0.397727272727,53,51,0.023959474261,-2
55,2015-11-03,21500056,1610612740,NOP,0-4,17,26,26,25,0,0,0,0,94,1610612753,ORL,1-3,28,29,21,25,0,0,0,0,103,-9,-11,-3,5,43,57,-14,31,58,0.348314606742,46,42,0.466666666667,48,55,-0.118352059925,-9
56,2015-11-03,21500057,1610612742,DAL,2-2,25,26,22,18,0,0,0,0,91,1610612761,TOR,4-0,31,18,25,28,0,0,0,0,102,-11,-6,8,-3,51,49,2,31,53,0.369047619048,44,32,0.415584415584,45,47,-0.046536796536,-3
57,2015-11-03,21500058,1610612758,SAC,1-3,29,11,27,22,0,0,0,0,89,1610612763,MEM,3-2,25,25,33,20,0,0,0,0,103,-14,4,-14,-6,40,50,-10,26,45,0.366197183099,35,39,0.475609756098,43,50,-0.109412572999,-15
58,2015-11-03,21500059,1610612747,LAL,0-4,36,21,26,26,0,0,0,0,109,1610612743,DEN,2-2,30,30,33,27,0,0,0,0,120,-11,6,-9,-7,57,60,-3,34,50,0.404761904762,40,42,0.5,42,49,-0.095238095238,-9
59,2015-11-04,21500060,1610612754,IND,2-3,23,26,24,27,0,0,0,0,100,1610612738,BOS,1-3,16,27,29,26,0,0,0,0,98,2,7,-1,-5,49,43,6,33,56,0.370786516854,53,34,0.414634146341,48,49,-0.043847629487,4
60,2015-11-04,21500061,1610612764,WAS,3-1,22,25,19,36,0,0,0,0,102,1610612759,SAS,3-2,23,28,22,26,0,0,0,0,99,3,-1,-3,-3,47,51,-4,36,45,0.444444444444,33,36,0.45,44,49,-0.005555555556,-16
61,2015-11-04,21500062,1610612737,ATL,5-1,23,18,31,29,0,0,0,0,101,1610612751,BKN,0-5,17,26,27,17,0,0,0,0,87,14,6,-8,4,41,43,-2,36,39,0.48,34,34,0.41975308642,47,43,0.06024691358,-9
62,2015-11-04,21500063,1610612739,CLE,4-1,18,20,32,26,0,0,0,0,96,1610612752,NYK,2-3,32,14,23,17,0,0,0,0,86,10,-14,6,9,38,46,-8,33,50,0.397590361446,48,31,0.378048780488,51,40,0.019541580958,8
63,2015-11-04,21500064,1610612745,HOU,2-3,34,34,22,20,9,0,0,0,119,1610612753,ORL,1-4,35,24,29,22,4,0,0,0,114,5,-1,10,-7,68,59,9,42,46,0.477272727273,48,46,0.505494505495,45,38,-0.028221778222,10
64,2015-11-04,21500065,1610612749,MIL,2-3,29,18,21,23,0,0,0,0,91,1610612755,PHI,0-4,21,24,22,20,0,0,0,0,87,4,8,-6,-1,47,45,2,35,51,0.406976744186,36,34,0.41975308642,47,51,-0.012776342234,-15
65,2015-11-04,21500066,1610612760,OKC,3-2,23,16,42,17,0,0,0,0,98,1610612761,TOR,5-0,13,27,33,30,0,0,0,0,103,-5,10,-11,9,39,40,-1,39,43,0.475609756098,41,33,0.417721518987,46,45,0.057888237111,-4
66,2015-11-04,21500067,1610612756,PHX,3-2,28,21,32,37,0,0,0,0,118,1610612758,SAC,1-4,18,22,29,28,0,0,0,0,97,21,10,-1,3,49,40,9,45,38,0.542168674699,41,39,0.469879518072,44,33,0.072289156627,8
67,2015-11-04,21500068,1610612762,UTA,2-2,26,23,19,24,0,0,0,0,92,1610612757,POR,3-2,27,30,19,32,0,0,0,0,108,-16,-1,-7,0,49,57,-8,33,55,0.375,40,41,0.532467532468,36,48,-0.157467532468,-8
68,2015-11-04,21500069,1610612744,GSW,5-0,31,32,19,30,0,0,0,0,112,1610612746,LAC,4-1,25,31,27,25,0,0,0,0,108,4,6,1,-8,63,56,7,35,46,0.432098765432,42,41,0.476744186047,45,41,-0.044645420615,1
69,2015-11-05,21500070,1610612741,CHI,4-2,25,32,19,28,0,0,0,0,104,1610612760,OKC,3-3,28,22,23,25,0,0,0,0,98,6,-3,10,-4,57,50,7,35,50,0.411764705882,47,36,0.439024390244,46,44,-0.027259684362,3
70,2015-11-05,21500071,1610612750,MIN,2-2,15,24,22,23,0,0,0,0,84,1610612748,MIA,3-2,22,27,24,23,0,0,0,0,96,-12,-7,-3,-2,39,49,-10,26,55,0.320987654321,44,33,0.458333333333,39,42,-0.137345679012,2
71,2015-11-05,21500072,1610612742,DAL,2-3,23,30,14,27,0,0,0,0,94,1610612766,CHA,2-3,27,27,24,30,0,0,0,0,108,-14,-4,3,-10,53,54,-1,26,50,0.342105263158,44,43,0.488636363636,45,48,-0.146531100478,-4
72,2015-11-05,21500073,1610612743,DEN,2-3,24,18,22,20,0,0,0,0,84,1610612762,UTA,3-2,19,21,25,31,0,0,0,0,96,-12,5,-3,-3,42,40,2,27,44,0.380281690141,45,36,0.428571428571,48,43,-0.04828973843,2
73,2015-11-05,21500074,1610612757,POR,4-2,18,32,40,25,0,0,0,0,115,1610612763,MEM,3-3,23,23,25,25,0,0,0,0,96,19,-5,9,15,50,46,4,44,43,0.505747126437,47,37,0.480519480519,40,36,0.025227645918,11
74,2015-11-06,21500075,1610612753,ORL,2-4,21,24,19,28,0,0,0,0,92,1610612761,TOR,5-1,15,21,33,18,0,0,0,0,87,5,6,3,-14,45,36,9,33,44,0.428571428571,40,29,0.341176470588,56,44,0.087394957983,-4
75,2015-11-06,21500076,1610612738,BOS,2-3,40,32,28,18,0,0,0,0,118,1610612764,WAS,3-2,25,24,25,24,0,0,0,0,98,20,15,8,3,72,49,23,42,53,0.442105263158,53,35,0.402298850575,52,45,0.039806412583,8
76,2015-11-06,21500077,1610612751,BKN,0-6,27,20,25,26,0,0,0,0,98,1610612747,LAL,1-4,18,34,27,25,0,0,0,0,104,-6,9,-14,-2,47,52,-5,39,53,0.423913043478,46,31,0.407894736842,45,40,0.016018306636,6
77,2015-11-06,21500078,1610612739,CLE,5-1,28,21,32,27,0,0,0,0,108,1610612755,PHI,0-5,25,25,23,29,0,0,0,0,102,6,3,-4,9,49,50,-1,44,43,0.505747126437,45,38,0.5,38,38,0.005747126437,7
78,2015-11-06,21500079,1610612752,NYK,2-4,20,33,20,19,0,0,0,0,92,1610612749,MIL,3-3,30,26,19,24,0,0,0,0,99,-7,-10,7,1,53,56,-3,33,48,0.407407407407,43,35,0.432098765432,46,41,-0.024691358025,2
79,2015-11-06,21500080,1610612754,IND,3-3,16,33,22,19,0,0,0,0,90,1610612748,MIA,3-3,26,23,19,19,0,0,0,0,87,3,-10,10,3,49,49,0,34,44,0.435897435897,43,36,0.444444444444,45,40,-0.008547008547,3
80,2015-11-06,21500081,1610612740,NOP,0-5,28,19,32,36,0,0,0,0,115,1610612737,ATL,6-1,26,32,31,32,0,0,0,0,121,-6,2,-13,1,47,58,-11,42,42,0.5,32,37,0.506849315068,36,41,-0.006849315068,-9
81,2015-11-06,21500082,1610612756,PHX,3-3,14,26,23,29,0,0,0,0,92,1610612765,DET,4-1,21,21,25,33,0,0,0,0,100,-8,-7,5,-2,40,42,-2,35,55,0.388888888889,46,36,0.493150684932,37,47,-0.104261796043,-1
